Area Type, Area, Area Name, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
1,36,New York State,9207870,61460,44680,24480,79960
1,36,New York State,470690,155720,132520,73920,196630
1,36,New York State,12440,222130,,117230,274590
1,36,New York State,160760,155050,127490,64290,200430
1,36,New York State,6310,92540,93810,81980,97830
1,36,New York State,5870,176100,159460,90720,218780
1,36,New York State,16430,196250,181610,115110,236820
1,36,New York State,21420,201860,184170,110000,247790
1,36,New York State,6100,168140,150870,92040,206190
1,36,New York State,17960,135150,123540,79480,162980
1,36,New York State,26520,191640,172240,115040,229940
1,36,New York State,40570,209740,194190,112380,258410
1,36,New York State,4700,135940,124270,80980,163420
1,36,New York State,3820,144160,131710,80970,175750
1,36,New York State,3620,115950,111760,77310,135270
1,36,New York State,1550,160360,143160,98610,191240
1,36,New York State,10290,147280,128190,82530,179660
1,36,New York State,3470,145650,136490,84550,176200
1,36,New York State,n/a,88010,84670,72230,95900
1,36,New York State,12150,123160,109520,69940,149770
1,36,New York State,4480,71800,64830,40440,87480
1,36,New York State,19850,126780,124030,84360,147980
1,36,New York State,10960,120450,103370,66010,147670
1,36,New York State,1580,104480,96350,54540,129450
1,36,New York State,7190,160790,149540,109140,186610
1,36,New York State,7800,73660,69760,48210,86390
1,36,New York State,580,116220,105420,49430,149620
1,36,New York State,n/a,95950,81200,57240,115300
1,36,New York State,530,83470,72890,47920,101250
1,36,New York State,25850,139590,121810,81510,168630
1,36,New York State,1670,154490,129850,88970,187250
1,36,New York State,840,78760,77780,66740,84770
1,36,New York State,7310,118530,96280,68340,143630
1,36,New York State,12560,88460,83880,57520,103930
1,36,New York State,630,102710,94840,63210,122460
1,36,New York State,14730,126860,111880,64910,157840
1,36,New York State,543880,96640,80870,49630,120140
1,36,New York State,3230,105360,78940,45560,135270
1,36,New York State,22020,73000,67760,44800,87110
1,36,New York State,19780,71490,69640,46990,83740
1,36,New York State,700,68960,63140,52520,77180
1,36,New York State,21490,77490,73650,49040,91710
1,36,New York State,10140,75880,67260,41430,93100
1,36,New York State,35260,77290,69430,47120,92380
1,36,New York State,7740,84260,71810,49670,101560
1,36,New York State,3190,78670,73760,52430,91800
1,36,New York State,42510,113000,96680,59280,139860
1,36,New York State,10010,65910,58080,37860,79940
1,36,New York State,6800,67250,62260,41130,80310
1,36,New York State,8970,76930,73960,51220,89790
1,36,New York State,22200,70590,64920,39500,86140
1,36,New York State,59110,79530,73270,45480,96550
1,36,New York State,26090,83930,77260,49670,101060
1,36,New York State,108130,97400,83780,55190,118510
1,36,New York State,2930,65400,58490,38830,78690
1,36,New York State,3320,78950,75680,55300,90780
1,36,New York State,8050,123990,108140,61990,154990
1,36,New York State,52670,137330,110290,72950,169520
1,36,New York State,28000,169530,146470,65640,221470
1,36,New York State,7930,98560,84150,54330,120670
1,36,New York State,6800,117200,105490,66440,142590
1,36,New York State,2170,56340,50610,38060,65470
1,36,New York State,12670,110640,88470,44670,143630
